Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C2","10.8437mm","-10.9165mm","Top",0,"C_0402_1005Metric","4.7µF"
"C3","6.9871mm","-11.3501mm","Top",0,"","10uF"
"C4","10.8437mm","-12.6628mm","Top",0,"SMD_0402_1005Metric","0.1uF"
"C7","2.8883mm","7.3132mm","Top",0,"SMD_0402_1005Metric","0.1uF"
"IC1","-2.1517mm","-1.95mm","Top",180,"",""
"J1","-11.2346mm","-8.6573mm","Top",270,"",""
"J2","-11.8371mm","0.5mm","Top",270,"",""
"J3","-0.4417mm","17.9781mm","Top",270,"",""
"J4","13.0051mm","3.9198mm","Top",180,"",""
"J5","-11.8371mm","8.8238mm","Top",270,"",""
"J6","33.8229mm","19.6388mm","Top",0,"",""
"J7","40.5375mm","9.9727mm","Top",270,"",""
"J9","-0.4942mm","-16.3185mm","Top",270,"",""
"J10","2.0458mm","-16.3185mm","Top",270,"",""
"J11","-3.0342mm","-16.3185mm","Top",270,"",""
"LED3","4.1183mm","10.9888mm","Top",0,"",""
"LED5","9.6137mm","-4.9839mm","Top",180,"",""
"LED6","9.6137mm","-7.8185mm","Top",180,"",""
"M1","-12.7689mm","29.8015mm","Top",0,"",""
"M2 Mounting Hole","-12.5046mm","-17.5885mm","Top",0,"",""
"M2 Mounting Hole","12.5046mm","-17.5885mm","Top",0,"",""
"M2 Mounting Hole","12.5046mm","17.4918mm","Top",0,"",""
"R1","6.7551mm","8.6062mm","Top",180,"","1.5KΩ"
"R2","7.1121mm","10.9888mm","Top",180,"","0.5KΩ"
"R6","6.5557mm","4.1076mm","Top",0,"","0.5KΩ"
"R7","6.7551mm","6.317mm","Top",0,"","0.5KΩ"
"R20","-1.4534mm","-6.9073mm","Top",270,"SMD_0402_1005Metric","7kΩ"
"R21","-2.9517mm","-6.9073mm","Top",270,"SMD_0402_1005Metric","7.5kΩ"
"U1","-2.9517mm","3.9032mm","Top",0,"",""
"U2","-11.3464mm","14.9218mm","Top",0,"",""
"U3","4.4833mm","-1.5313mm","Top",270,"",""
"U6","-3.8342mm","10.9888mm","Top",180,"",""
